gene	variance	detected_spots
SNRNP200	0.4124218740943695	1024
ANKHD1	0.41216281305331326	1019
LAMC1	0.4116120258989158	828
KLF13	0.4112165232899039	1025
MMP24OS	0.410969798013269	944
ITGA4	0.4108142279410071	998
MAT2B	0.4107813620722912	908
GPX4	0.4106827265136704	934
DYNC1LI2	0.4106062992944064	996
DNAJC1	0.41056513079694706	958
ECH1	0.4104012004230494	982
ZNF394	0.4099381954966061	970
PEA15	0.40935302652543937	761
MICOS10	0.40902216380316087	847
MED25	0.4082622409251293	967
SIN3B	0.4077286887678968	995
SND1	0.40742522529016323	917
GPAA1	0.40740741042546635	961
SRPRB	0.4073107921385452	903
FAM193B	0.4072357339668433	1027
SLC2A1	0.40723421695346695	1036
NR3C1	0.40721131675713795	950
NAP1L4	0.4068225198649086	998
TMEM259	0.40648164942604664	1006
RASGRP2	0.4064714036098977	905
COMMD3	0.40622618357659	958
C11orf71	0.40581049325980545	908
SCAF11	0.40557353481552616	1002
CADM1	0.40540193763474375	803
EIF4EBP2	0.40533474001524805	926
ATF5	0.4053156822339869	720
SMARCC1	0.4052597786950153	952
UBAC1	0.4051453561443359	928
KRTCAP2	0.4045430419614579	858
FADS2	0.4043889730114488	909
GUSB	0.4039635598130947	919
SMARCA2	0.4038963458410488	1028
GALNS	0.4038381230457788	1043
VSIR	0.40375942875970355	985
URI1	0.4034457359059896	899
CFL1	0.40330345593492634	945
GNPTG	0.4032216199469571	968
CAST	0.4030575785789947	838
SMAD3	0.4030570703187557	869
NDUFA2	0.4030054552652193	960
HSP90AA1	0.40294090945253197	917
RHOQ	0.402491509293941	892
HM13	0.40227436971214886	967
RNF10	0.4021726676518587	948
PRKCD	0.401939441308936	966
TRIP12	0.40179291656161	1022
DCN	0.4015288412029165	780
BCL2L1	0.40150156972173856	933
CSTF3	0.4007788292307918	954
HNRNPL	0.4007698754798933	966
PRDM2	0.4005858896642291	1007
CUX1	0.4001244247854216	962
CDK14	0.3999096640670156	754
LIMD1	0.39982018204779407	1004
SUMO3	0.3997864990878258	941
GGA2	0.3997387653600506	960
BSG	0.39947686132924937	943
DYNLRB1	0.39880420543577905	897
PRDX4	0.39848797686094883	853
CAPN2	0.39844792072379004	880
ANXA2	0.39826994864797693	745
RNF115	0.39826695658757466	899
DEPTOR	0.3981377532901455	735
MTERF4	0.3979106379223056	902
PYCR2	0.39726717476672585	969
G0S2	0.3971030604528473	756
COPG1	0.3967844354239958	947
SELENOW	0.39616895953183484	899
GGNBP2	0.3960500615159949	1060
ASXL1	0.3959859741149909	993
SNX19	0.3957632084921457	991
ARHGAP15	0.3955589763618974	961
EP300	0.3950721306694374	987
IRF3	0.39506989180464414	965
INO80E	0.39496030576120517	966
DNAJB11	0.39494533067897	858
PLD3	0.39489490556571566	925
MON2	0.3948720393112759	963
ETS1	0.3944405186830437	847
SLC40A1	0.39416367736277624	969
TMEM50A	0.39380930938931186	875
SHC1	0.3937521995695973	890
CEP128	0.3935488997175122	741
ANXA11	0.39321110374118307	988
BAG6	0.3927281168366614	954
FLOT2	0.3924362017473581	959
RXRA	0.39239418516515434	947
NDUFS6	0.39235438269898304	861
DHX15	0.39199987624627197	928
CSNK1G2	0.39146711058418077	921
SYVN1	0.3911846262861133	881
NUS1	0.3909845673932962	873
CCPG1	0.3909179876339149	892
PEBP1	0.39084784143753065	866
ATF2	0.3905924233693049	929
LAMP1	0.39045592929763845	883
MSN	0.3902462668934768	843
FAM89B	0.39020936888728025	889
NHP2	0.39007258264356875	941
PRG2	0.38981529776754564	675
EVL	0.3885455379544626	988
GNB2	0.3875071038721931	905
APRT	0.387464632363393	882
RBM25	0.3873671591888231	949
PTPN1	0.38693765031373367	914
SRSF4	0.38633059013989646	957
RAPGEF2	0.3859889851441662	871
ATP5F1E	0.38542277098206346	836
ITM2A	0.38531627759225584	699
ANKRD11	0.3850488272011757	969
CYTH2	0.3848108620427936	941
CD163	0.3846763421020118	796
MLEC	0.3846361693741288	893
PRPF3	0.38451371910006615	936
WWOX	0.3841129188594166	954
CHSY1	0.38373119958084023	825
DDX24	0.38372473380952893	900
PDHA1	0.38368013346171687	914
NDUFA1	0.3832703088284827	855
KDM2B	0.38302557277800897	955
FBXL5	0.38294623101564873	887
NME3	0.38199863427074887	911
DOCK2	0.3817148064603343	881
CMPK1	0.3815070191845067	893
GLRX	0.3814825020520098	924
ENTPD4	0.38147458973790604	936
MESD	0.3814457906008169	915
RAD23A	0.38111329433692637	915
TM7SF3	0.3810704927829308	946
EVI2B	0.3809550675183249	890
