analysis_type	feature	score	n	n_feature_0	n_feature_1	effect	effect_label	statistic	p_value	fdr
subtype_probability_spearman	MAF	POU2AF1_z	707			-0.0867461989722225	spearman_rho	-0.0867461989722225	0.021065752755069552	0.05208181756224078
subtype_probability_spearman	MAF	XBP1_z	707			-0.044350328061118924	spearman_rho	-0.044350328061118924	0.2388984103540877	0.3544847597007521
subtype_probability_spearman	MAF	JCHAIN_z	707			-0.09457523325111827	spearman_rho	-0.09457523325111827	0.011872986472264676	0.03210723102358898
subtype_probability_spearman	CD1	plasma_secretory_score_z	707			-0.022606995179602928	spearman_rho	-0.022606995179602928	0.5484255256700703	0.6749852623631635
subtype_probability_spearman	CD1	clinical_subtype_module_score_z	707			-0.01055787013627266	spearman_rho	-0.01055787013627266	0.7792939496165089	0.8599105650940788
subtype_probability_spearman	CD1	TXNDC5_z	707			-0.08557298527890898	spearman_rho	-0.08557298527890898	0.022876585809393016	0.05490380594254324
subtype_probability_spearman	CD1	POU2AF1_z	707			-0.0713245763173964	spearman_rho	-0.0713245763173964	0.05802068069560259	0.11609491500304724
subtype_probability_spearman	CD1	XBP1_z	707			-0.1346268216218563	spearman_rho	-0.1346268216218563	0.0003310893982786336	0.0014126480993221701
subtype_probability_spearman	CD1	JCHAIN_z	707			0.17158494446992362	spearman_rho	0.17158494446992362	4.467618831160537e-06	2.4508080445223518e-05
subtype_probability_spearman	CD2a	plasma_secretory_score_z	707			-0.26539082232367595	spearman_rho	-0.26539082232367595	7.330066663809946e-13	8.796079996571936e-12
subtype_probability_spearman	CD2a	clinical_subtype_module_score_z	707			-0.07466243621828014	spearman_rho	-0.07466243621828014	0.04720097762581475	0.10182682813658912
subtype_probability_spearman	CD2a	TXNDC5_z	707			-0.11240923211220784	spearman_rho	-0.11240923211220784	0.002761550837540096	0.008836962680128308
subtype_probability_spearman	CD2a	POU2AF1_z	707			-0.14273856642831828	spearman_rho	-0.14273856642831828	0.00014001418363204397	0.0006400648394607725
subtype_probability_spearman	CD2a	XBP1_z	707			-0.24541162786883866	spearman_rho	-0.24541162786883866	3.709411565970352e-11	3.391462003172893e-10
subtype_probability_spearman	CD2a	JCHAIN_z	707			0.21893376937679643	spearman_rho	0.21893376937679643	4.0401010542588875e-09	3.3726060974682883e-08
subtype_probability_spearman	CD2b	plasma_secretory_score_z	707			-0.007875823134225121	spearman_rho	-0.007875823134225121	0.8344118097819836	0.8898992308524146
subtype_probability_spearman	CD2b	clinical_subtype_module_score_z	707			0.1338105535632813	spearman_rho	0.1338105535632813	0.0003601112681286307	0.001503073119145589
subtype_probability_spearman	CD2b	TXNDC5_z	707			0.0998822852427337	spearman_rho	0.0998822852427337	0.007866031333968222	0.02288300024427119
subtype_probability_spearman	CD2b	POU2AF1_z	707			0.07826696440369693	spearman_rho	0.07826696440369693	0.03747170863372047	0.08269618457096932
subtype_probability_spearman	CD2b	XBP1_z	707			0.03257547180663273	spearman_rho	0.03257547180663273	0.3871148306149821	0.5125934308832866
subtype_probability_spearman	CD2b	JCHAIN_z	707			0.16634405502700386	spearman_rho	0.16634405502700386	8.740800730839535e-06	4.661760389781085e-05
subtype_probability_spearman	MS	plasma_secretory_score_z	707			-0.021581209064595645	spearman_rho	-0.021581209064595645	0.566723045651625	0.6930625781217324
subtype_probability_spearman	MS	clinical_subtype_module_score_z	707			-0.11172307101515831	spearman_rho	-0.11172307101515831	0.0029325734158870903	0.009230395013939695
subtype_probability_spearman	MS	TXNDC5_z	707			-0.019276117269676134	spearman_rho	-0.019276117269676134	0.6088733159421408	0.7311050439590803
subtype_probability_spearman	MS	POU2AF1_z	707			-0.11940079056701525	spearman_rho	-0.11940079056701525	0.0014698509883511368	0.005324743203083363
subtype_probability_spearman	MS	XBP1_z	707			-0.06269198734458735	spearman_rho	-0.06269198734458735	0.09578596059875867	0.17028615217557097
subtype_probability_spearman	MS	JCHAIN_z	707			-0.0784897279379817	spearman_rho	-0.0784897279379817	0.03693088876590317	0.08245035631457451
subtype_probability_spearman	1q gain	plasma_secretory_score_z	707			0.07692371295627702	spearman_rho	0.07692371295627702	0.040877329171568104	0.08918690001069404
subtype_probability_spearman	1q gain	clinical_subtype_module_score_z	707			-0.18278350613311933	spearman_rho	-0.18278350613311933	9.941433827174915e-07	5.964860296304949e-06
subtype_probability_spearman	1q gain	TXNDC5_z	707			0.08766072103066577	spearman_rho	0.08766072103066577	0.019741921131082037	0.05031846084138768
subtype_probability_spearman	1q gain	POU2AF1_z	707			-0.013522128164526482	spearman_rho	-0.013522128164526482	0.7196501156594202	0.8080282000386472
