file_id	file_name	data_category	data_type	data_format	experimental_strategy	access	case_projects
c5fa6eae-a8b4-440e-b640-05de9c64c610	aab673d5-b049-47f3-9646-61297fb71b1d_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
4c4e6fe8-9e91-49cb-aadb-0f5cc0184e58	5e15ab57-c877-44eb-873b-7bb6b8f71956.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
a158cfc6-ba80-4d1a-b7fd-2ec1cc238d4e	5cfd4749-736a-4e53-8010-85e7d0e27362_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
d2330be2-5bde-4c43-83aa-8e4c0fffcd41	ac37aeb0-7e07-4cc1-9938-12bbe0a391b2.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
0876d1a4-a8be-4dd1-8a4b-f95a44ec813f	d5599832-07f1-48f3-91af-d2a0d99c8cf2_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
f51fb504-b600-47b9-aa98-da28f61ec125	b862d18f-5e22-4d42-89d3-e754ef57b829.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
3c8a0666-d525-4ecd-9954-4e1d90380321	d87f1134-bc70-4060-824e-81c6656df5c8.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
adcfc856-990b-40fc-8f1e-67dfc2343fb7	24c81631-a801-4f41-a60f-e55626d720d0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
982eb4d8-dac6-460d-8991-9314f055690d	c3a7abc6-5d7d-4ee5-b53e-95b1e32c5d98.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
bbce2c01-f22e-414f-a624-16884d9b4571	075d2540-f1c3-4783-af27-0ec1753e3da0.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
cb80bca3-cdce-40fb-9939-05e0e02b2617	93ee9a27-ec37-460a-807e-5ee9bb64d390.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
c190c722-cfd2-4129-a4e3-f1ef71132927	1fa8317c-7f66-4a7f-8bec-6ecfbd0856fd.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
b0988efd-0f59-4a65-9abd-b6af8948cbec	6bcc87f3-03b3-4ed2-b9f9-deace651c1aa.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
